ID,Lib_Protocol,SRA,col0,ID_fasta,GenesSAPA_onlySACE,PhyloGroup_SACE469,Region_Pre,Region_New,YMX_NumID,Subgroup_New,Subgroup_Pre,Figura2
JS277c1,PE,,243,JS277c1,45,FG,FG,JS-FG,ERS1082574,FG_JS-FG,FG_FG,1
JS861c1,PE,,244,JS861c1,48,FG,FG,JS-FG,ERS1082575,FG_JS-FG,FG_FG,1
JS691c1,PE,,245,JS691c1,66,FG,FG,JS-FG,ERS1082392,FG_JS-FG,FG_FG,1
JS468c1,PE,,246,JS468c1,60,FG,FG,JS-FG,ERS1082393,FG_JS-FG,FG_FG,1
JS263c1,PE,,247,JS263c1,59,FG,FG,JS-FG,ERS1082394,FG_JS-FG,FG_FG,1
JS599c1,PE,,248,JS599c1,62,FG,FG,JS-FG,ERS1082395,FG_JS-FG,FG_FG,1
JS527c1,PE,,249,JS527c1,51,FG,FG,JS-FG,ERS1082396,FG_JS-FG,FG_FG,1
JS310c1,PE,,250,JS310c1,60,FG,FG,JS-FG,ERS1082398,FG_JS-FG,FG_FG,1
JS311c1,PE,,251,JS311c1,56,FG,FG,JS-FG,ERS1082399,FG_JS-FG,FG_FG,1
JS759c1,PE,,252,JS759c1,70,FG,FG,JS-FG,ERS1082400,FG_JS-FG,FG_FG,1
JS165c1,PE,,253,JS165c1,54,FG,FG,JS-FG,ERS1082401,FG_JS-FG,FG_FG,1
JS728c1,PE,,254,JS728c1,70,FG,FG,JS-FG,ERS1082402,FG_JS-FG,FG_FG,1
JS246c1,PE,,255,JS246c1,52,FG,FG,JS-FG,ERS1082403,FG_JS-FG,FG_FG,1
JS270c1,PE,,256,JS270c1,70,FG,FG,JS-FG,ERS1082404,FG_JS-FG,FG_FG,1
JS754c1,PE,,257,JS754c1,59,FG,FG,JS-FG,ERS1082405,FG_JS-FG,FG_FG,1
ERR1309514,PE,,287,ERR1309514,64,SAM2,SAM2,JS-AmMix2,ERR1309514,SAM2_JS-AmMix2,SAM2_SAM2,1
ERR1309020,PE,,288,ERR1309020,70,SAM2,SAM2,JS-AmMix2,ERR1309020,SAM2_JS-AmMix2,SAM2_SAM2,1
BR021c1,PE,,289,BR021c1,113,SAM2,SAM2,AmMix2,ERR1111506,SAM2_AmMix2,SAM2_SAM2,1
BR010c1,PE,,291,BR010c1,109,SAM2,SAM2,AmMix2,ERR1111495,SAM2_AmMix2,SAM2_SAM2,1
BR011c1,PE,,292,BR011c1,104,SAM2,SAM2,AmMix2,ERR1111496,SAM2_AmMix2,SAM2_SAM2,1
SRR800827,PE,,293,SRR800827,75,SAM2,SAM2,JS-AmMix2,SRR800827,SAM2_JS-AmMix2,SAM2_SAM2,1
