Comparación	Mean_Fst	Weighted_Fst
Mal19yCHNV_vs_MixOrigin8	0.34174	0.47277
Mal19yCHNV_vs_MMMG	0.35598	0.71882
Mal19yCHNV_vs_MosBeer	0.3064	0.46586
Mal19yCHNV_vs_MosR1_WINE	0.24689	0.40767
Mal19yCHNV_vs_MosR3_Sake	-0.19896	0.14032
Mal19yCHNV_vs_MosR3	0.065661	0.19933
Mal19yCHNV_vs_MosR3_Wine	0.19735	0.35099
Mal19yCHNV_vs_MR2_Wine	0.33987	0.51262
Mal19yCHNV_vs_NortAmOak	0.13078	0.32384
Mal19yCHNV_vs_Sake_AsianFerm	0.30747	0.54035
Mal19yCHNV_vs_SAM1	0.2895	0.56592
Mal19yCHNV_vs_SAM2	0.20692	0.44804
Mal19yCHNV_vs_SAM3	0.29356	0.53861
Mal19yCHNV_vs_Taiwanese	0.38549	0.63705
Mal19yCHNV_vs_Taiwan	0.31756	0.48266
Mal19yCHNV_vs_Tamaulipas	0.61038	0.71027
Mal19yCHNV_vs_Tequila	0.24871	0.42507
Mal19yCHNV_vs_Wine12	0.38864	0.76931
Mal19yCHNV_vs_Wine14	0.57638	0.77742
MedOak_vs_MixOrigin8	0.19547	0.32035
MedOak_vs_MMMG	0.25624	0.61791
MedOak_vs_MosBeer	0.22357	0.39234
MedOak_vs_MosR1_WINE	0.25965	0.39792
MedOak_vs_MosR3_Sake	0.42191	0.77698
MedOak_vs_MosR3	0.13019	0.27918
MedOak_vs_MosR3_Wine	0.36955	0.55278
MedOak_vs_MR2_Wine	0.40989	0.65597
MedOak_vs_NortAmOak	0.27056	0.53316
MedOak_vs_Sake_AsianFerm	0.4031	0.72885
MedOak_vs_SAM1	0.40047	0.72769
MedOak_vs_SAM2	0.18477	0.45588
MedOak_vs_SAM3	0.10017	0.26882
MedOak_vs_Taiwanese	0.77082	0.92407
MedOak_vs_Taiwan	0.66637	0.85266
MedOak_vs_Tamaulipas	0.43206	0.60893
MedOak_vs_Tequila	0.142	0.30084
MedOak_vs_Wine12	0.097202	0.44234
MedOak_vs_Wine14	0.25069	0.51863
MixOrigin8_vs_MMMG	0.3292	0.62654
MixOrigin8_vs_MosBeer	0.15837	0.22822
MixOrigin8_vs_MosR1_WINE	0.11659	0.196
MixOrigin8_vs_MosR3_Sake	0.03759	0.37687
MixOrigin8_vs_MosR3	0.16535	0.19023
MixOrigin8_vs_MosR3_Wine	0.14076	0.29194
MixOrigin8_vs_MR2_Wine	0.15197	0.35997
MixOrigin8_vs_NortAmOak	0.22793	0.4065
MixOrigin8_vs_Sake_AsianFerm	0.26635	0.46259
MixOrigin8_vs_SAM1	0.2877	0.57063
MixOrigin8_vs_SAM2	0.29506	0.45958
MixOrigin8_vs_SAM3	0.13546	0.24685
MixOrigin8_vs_Taiwanese	0.46656	0.78283
MixOrigin8_vs_Taiwan	0.25786	0.52275
MixOrigin8_vs_Tamaulipas	0.30345	0.51229
MixOrigin8_vs_Tequila	0.18489	0.30711
MixOrigin8_vs_Wine12	0.14614	0.32614
MixOrigin8_vs_Wine14	0.19556	0.34901
MMMG_vs_MosBeer	0.3557	0.64315
MMMG_vs_MosR1_WINE	0.26692	0.62509
MMMG_vs_MosR3_Sake	0.024311	0.71774
MMMG_vs_MosR3	0.43499	0.61305
MMMG_vs_MosR3_Wine	0.25376	0.66089
MMMG_vs_MR2_Wine	0.19465	0.66662
MMMG_vs_NortAmOak	0.37089	0.67069
MMMG_vs_Sake_AsianFerm	0.41465	0.74291
MMMG_vs_SAM1	0.33463	0.71982
MMMG_vs_SAM2	0.30633	0.35389
MMMG_vs_SAM3	0.29791	0.61617
MMMG_vs_Taiwanese	0.32245	0.8699
MMMG_vs_Taiwan	0.25185	0.74682
MMMG_vs_Tamaulipas	0.1771	0.43356
MMMG_vs_Tequila	0.22763	0.33899
MMMG_vs_Wine12	0.24987	0.65519
MMMG_vs_Wine14	0.30234	0.66249
MosBeer_vs_MosR1_WINE	0.035679	0.11464
MosBeer_vs_MosR3_Sake	0.0044446	0.39454
MosBeer_vs_MosR3	0.055728	0.14846
MosBeer_vs_MosR3_Wine	0.11647	0.27299
MosBeer_vs_MR2_Wine	0.17091	0.38725
MosBeer_vs_NortAmOak	0.24651	0.45356
MosBeer_vs_Sake_AsianFerm	0.3307	0.60282
MosBeer_vs_SAM1	0.40511	0.68445
MosBeer_vs_SAM2	0.19003	0.42207
MosBeer_vs_SAM3	0.1067	0.22519
MosBeer_vs_Taiwanese	0.55865	0.80948
MosBeer_vs_Taiwan	0.42512	0.65423
MosBeer_vs_Tamaulipas	0.44795	0.59028
MosBeer_vs_Tequila	0.14245	0.27215
MosBeer_vs_Wine12	0.16081	0.41613
MosBeer_vs_Wine14	0.28854	0.47889
MosR1_WINE_vs_MosR3_Sake	0.239	0.52242
MosR1_WINE_vs_MosR3	-0.056901	0.045392
MosR1_WINE_vs_MosR3_Wine	0.07656	0.20183
MosR1_WINE_vs_MR2_Wine	0.23354	0.42428
MosR1_WINE_vs_NortAmOak	0.19152	0.43845
MosR1_WINE_vs_Sake_AsianFerm	0.34396	0.63876
MosR1_WINE_vs_SAM1	0.38242	0.69534
MosR1_WINE_vs_SAM2	0.1094	0.35784
MosR1_WINE_vs_SAM3	-0.01703	0.082124
MosR1_WINE_vs_Taiwanese	0.67206	0.83825
MosR1_WINE_vs_Taiwan	0.59007	0.7719
MosR1_WINE_vs_Tamaulipas	0.46613	0.5762
MosR1_WINE_vs_Tequila	0.0752	0.20773
MosR1_WINE_vs_Wine12	0.033513	0.257
